BTC_ADDRESS,ETH_PAYOUT,REFERRAL_CODE,HD OFFSET
1D3rRKHazmPZZZDSP8PeB2MtvaedxQC3ad,0x8ba7408497883d3a569066fa3a331aa892138868,,1
18mK4v9FFdYLSeGo984rfHJSy5o1jzqg8f,0x8ba7408497883d3a569066fa3a331aa892138868,,2
1NB1AX7k8SbiSrszbirpH5SnQhMhA6JFAj,0x8ba7408497883d3a569066fa3a331aa892138868,,3
14D2ZBmYJ8bKj3sEuTeesns5Ad4noykq2w,0x8ba7408497883d3a569066fa3a331aa892138868,,4
1Ph194wYZ4Q11v2yvWZ7SCMeMXFUeYUio4,0xc93606fb9b05de54491d687f766fad4a38422e03,,5
115ydBrskEs26twT18yoCXeg4nctVYu9Wu,0x8e18e47e09c8a3be59a8d63c81811263c632f6ae,,6
1JzH58FJrZHp3TmGeujZq2cAmYi3T6xzYw,0xe6e561a05b7f63cd109484e192c440a9b61fd088,,7
1FV9tyLfAQYD72nvsf3QNxBw9EPjXXaSep,0xe6466ec89287d629c500a816169ed3e83523f135,,8
16AArxpuW99wVGQikKdzPZ7qv8qPcW7GTi,0xc8e5e46ed677177324cc352dbe8a4b1b588909fa,,9
1H47ZcAiWhkjrgGqmijt83C4D1ZkDcrjX,0xb5a3b54dd4ab9635505f86cee7d9ef49515d90ad,,10
1BwspuZrKgyrEnF1mSR1Jqewn18141siTY,0x2f6ae636e6eb9edbe497de3e109659d5cafe1555,,11
1MSkBVnnGuUq8vF29ohvwav8PMCExt4LdE,0x856cf86cb5e5941b602df540f56040423aadf562,,12
1Q113bECDLqpqVpHtGCqETADoQf9SzHQrk,0xfb67cab47f81eceffb96a2fe72e8bfcafc555473,,13
15DhjiGjwtBXt9i4RpW5r1wruFWaB8BQjS,0xd3d8079fb6d21408f55755859c6207c36c9a6568,,14
13bYxtwb12ggjV3tbRy2c7sNZWYV6LRiZG,0x84ea66f3f23c2da9faa1f27e8ca05b5308092727,,15
1B6czjra1icKRZAd9nfSLergRED8Rp6fy,0xe3c4a3c85a0f8819f7223db124ab63d14ed02243,,16
16idJBXyVhtMUm6YjWcmbs1gAMAwj4NCaE,0xe3c4a3c85a0f8819f7223db124ab63d14ed02243,,17
15qzvopR87nQ7XWVuKfWR5SqrXP3UkrZxb,0xe86aef0d681039ca2103814c6a85eecf7e23f34f,,18
114NhhyDY9G25trQUDqPyshgKFZkttFutv,0xe6e561a05b7f63cd109484e192c440a9b61fd088,,19
1LyLaMUCgjn1udLWmiGecam1TobRteuBBk,0x0164d1c4a478a622a44395906659d13982f1ce54,,20
15fy1M1NXjQWhzv4G8rp3uQok37r21QUFc,0x367aa5f88d3ce20807fe4f6c76d6dbbb2b27e971,,21
1J4Lu24jGHwf2Us7YxLfRsUmZJo1HWab66,0x44a75543dbb45d7df79424150b1c070f220bf441,,22
16rpCmNeDGyN5GudCKHSdA4rAr81mtckwu,0x8ba7408497883d3a569066fa3a331aa892138868,,23
1EXRTFFCYn23a2j8fGyDPFqcGKWaCaKpNY,0x5e3310cdd919d7943c51a2d184db2c0721df0a23,,24
19n5qYPYipHMcYGuCjdc1x5do91dkwL1R7,0x16c456faeeff91ea8d550b86cc397a98099bb289,,25
15EGLttVFNRTfFYwYEfAXd2HkXhwCh8VfS,0xbf83b4e19a164912fcc1921a098ac3b743348cfe,,26
1BpTiKtEkXDF65uX1KYFsYMeva3vdXiCmB,0x4d9b2126734589a06f4236bfda04d9caa713b951,,27
