Name / Alias,ethereum_payout_address,BTC,ETH
,0x7269CaD927f2D98aBfD06b0Eb1dA318525c6C304,1,
,0xab82eb35929a340bdcfa2b34ea690399dff9422a,,100
,0x0fb452D623D67a40A5a0c7e5aE38c8aFB5b1381f, ,10
,0x94841C5a52d35c4adf49364B948Cad685A2476cd, ,4
,0xA82846304ff0364c2F2d3E411E411F3111E78165, ,200
,0x9Ede46310F9ba57f1E69AE98d3C16dB7B4Fd1262,5,
,0x15EDEBFD8A9329C645Ef9d1e0105fD1B6c6f2ba1,5,
,0x9F390bcF4a2B007868ab46106DA7dc3adc5a4738, ,200
,0x598e920Dd134708838306d1080bFB6e4f9457B50, ,100
,0xD6E35638c4ba94976f065533DdaA5f03Da6b3a86, ,32.158
,0x8F9AaBCc8700cE1Dd3925F318579a8bbc76D3398,3,
,0xBbbFdfB6B77d1e301C52FD3C55FB9f78f8597b46, ,20
,0xbF06AD75aF9A0660cA563b3FD6C8cc1b83b2C529, ,10
,0x3FE666Fc563e5fa99f8E0E6988eE2070CEA1fA6b,1,
,0xB7B3ECBc3fD793Dd150B57C45D1518469e6FEd06, ,30.168
,0x10DB0c978668616249DBA305c85166b4F081319e,5,
,0x15A580F02B3148D33C8FDf54630d69788F35E94A, ,15
,0x490E90676b7E880e0D508cCdcDf87Ea5745565dd, ,186.5
,0xaf6B01586AF8b1527F9C6E84e0070b099Ad56F09, ,60
,0x5b14DA705F9795170638c7DA7Cc02753658e84Cb, ,200
,0x54e41B1784fc5933FF9a1961A0Da198Fd656eb0c, ,10
,0x1531e2d56963b8633ea48a5df529ee5dcf717914,5,
,0xF6EdF5DCdfba55F3CECeE2A430BB6C2d30a4a1A8, ,8
,0x2b8d5C9209fBD500Fd817D960830AC6718b88112,30,
,0x6199a4Ac62c622A29A4158089F67A3B28FA67051,,80
,0x63AF327b76913FAFC7BDB9b0497682b398980717,2,
,0x0455EA966197A69ECcf5Fc354b6A7896E0fE38f0,20,
,0x51d3D47C93495965DbEc7e10C11630811A5b3c3C,,20
,0xBd4d2A9273C97ef7727c2eafafc46851D7f832A2,4,42
,0x30a0E9263119E1Abd59C632cb1D42EcF60EBCeB3, ,10
,0xFcFa349b22D2199e5ee8Cb46C6f634345854965F, ,40
,0x0aA530755437746378B60dBF235730DeD8E90bbF, ,70
,0x8d1900cb7553f529DfeeD5F185042956bfA49252, ,10
,0x20A2F38c02a27292afEc7C90609e5Bd413Ab4DD9, ,100
,0x542496Bc1e63b03167e2d24c36c371Bf4D35a9C2,,78.64
,0x0C26520723b67A4DfD210b523C77d9C29F4158B8, ,50
,0x1aA8C9eBE9DFA9D7F99673Fd015391c1a5f737B3, ,15
,0x2DFb1C59015bb38D0ace349B8487ccb32D22a8b3,5.5,5.5
,0x03f3530a70f82EEc3E9ee9dd93F16a896B1CdFc4, ,20
,0x98335d084d07229Bd37D94662e127ae395bE0a7C,8,
,0x5E0d8751C84db3015D5B8460052086D6582f2c3D, ,200
,0xDcDF3C95c093e452052bBb7A725c241A1b7865b9, ,3
,0xBC72720d845DD7f0153E890265CD6479A6B655cb,5,
,0xAE8dBC7C2CF9d573481f0d90D0da9425f4B07BD5, ,64.995
,0x385a696e1DFCdf1023dEDC31Eb88573BA9a34986, ,5
,0xB275e7B4d1D54a9d22c364791773dEC90Bf02437, ,15
,0x75468eb58413434fc82b01ac2fef656cfad7a6e3, ,10
,0x4C9d157275Aa93642B28F1CCdDAaC96c460ceD3b, ,10
,0x8BFDaDAEf59eeB4afDda79bb367b213cbBD255b0, ,15
,0xE57cC8aB200DA08C24bBBCE47dae16E7bEdb9b1C, ,15
,0xc51d990dcf1afb87c02fddf8153cc58ca54a6471,10,
,0xc9968E2576B47b25B4c4b12463A48f2Ef6b1827a,10,
,0x06dC4e51BAFd392DbbF18822A377BCE2eE6F405e, ,50
,0x4d5E95EDEbDBFe504717c4b331733D58c1EC2db2,2,
,0xbd727BfCEAA04bFFF489419180b52F9EB8C76620, ,120
,0x837A2C17BbA59f500a393E4F83c0A28c301AeC1E,1.5,
,0x4778bE92Dd5c51035bf80Fca564ba5E7Fad5FB6d,6.5,
,0x5a961E82502b1788A4C125F141C8Bf0205e8bBf2, ,84.77162865
,0xc64B9669903c227cC36Fde9752a3A135Bd6FdaED,8,
,0xa9e128a12400799Dd62023360D8893A27435D4E5, ,35
,0x648911f53c85dcF7B338b28d568925c0a228859E,5,
,0x47D92E4Cc562C7cFED8fD24f384B76f1D9DCF714,3,
,0xd8c87509493ae5c71115b32a8cdfc5b4c92c7957,0.25,
,0x7543Ed2da1BC206ce06AF5b1805Ec7c482f67D54,3,
,0xf5398304c2b8A282b37390c7258530cD5eEa4A1a,0.5,
,0x85d605fe562a017B7e2d1d0E12CB2f53553E4aD1, ,2.8
,0xa382e59A94a6F1dF51da4b49025cE37d91eC0c26,3,
,0x498fc91838DD3057FFE7723096061C62eDcB802B,2,
,0x7C3AEF6ece0650CBFBae68fE3b1b0C3F8801E112,2,
,0x960f9a054BB4F958e8c1F3C91394Fd2cBb38fdFF,1,
