NAME,ethereum_payout_address,ETH
,0xb9a3705AC714036c2997846BB817633e3F24c48c,15
,0x9eb7d1417226487abA7F0dD0b9DA50b915CDCd56,4
,0xD3C229f8D9bf7EBFc4eFDCAde5CaC959588887D0,2
,0x361Fa18e0320E94a3DB20912f24DE8Be76AA0E49,3
,0x1A47C809d36a4c34A9A7764F5339E07f88E4d05e,5
,0x4b2edCb43B0E18582fD389546E509c9A197D4902,1.8
,0x294Efa57cB8C5b0299980D8f1eE5F373Bd44a66d,2
,0x78d8e8807f652b54afe33b7645a26c5ffae5291c,10
,0xc905915aa686E16EBf743a3577023823beB4Df47,3
,0x882788131B41BBca26470B43c8B07259A46EFcBE,30
,0x2aed2587BB8801172db68b153b81B46647f59119,1.1
,0x3CB2a824Fb9bf88A99AB97D956611D56C70dCCDB,25
,0x02D4Ce7e7fF686e418Fd80B0Df8336bFf92F26D3,2
,0x9AB0D78B1059c7C97a95Ff69A9a281d37F6814b3,4
,0x09D4CC177663c056BE397b993c853e83F1Ba3935,15
,0x6dABaB366d465Beb18bB3b16BE64b17Fe135Ce5D,12
,0x9eb7d1417226487abA7F0dD0b9DA50b915CDCd56,4
,0x0da88C09d9dF86Ab4B1e97aF72cB1e7526717C80,3.4957
,0x502fE4eBD2f7794d44ccD989dD1508BD576F00bf,6
,0xa061FD8eE58644b85b78dc290dcdC3230399f993,1
,0xD5f00e19c3D2E086f0E107a719e84D220580B231,3
,0x07286Cd9336f7e7B2469c77F2f32a4C211AaA5df,3.5
,0xdc8518A1Fc67cd307f2AfFFb76B92F0CF376C04E,10
,0xcf8385e2B022D9bc06ECCc9b883B0ce430dbb067,20
,0xe64dDAB2d63c6a686BA697977Eae2a76c81634D4,50
,0x54e0830381926eb94EeB83d84377dE5153Bf5404,10.005
,0x4545589DBB98B83c8A0F48F580295aa50397823c,25
,0x7ddB60407A0e31468DFA43515473EfD1e2008541,2.9
,0xB1475777580d230c4d7D2deEbb7130c27B905a68,26.6
,0x4b2edCb43B0E18582fD389546E509c9A197D4902,3
,0xC617B03BF832416F1A091ec84df84D8cbBa12cAe,5
,0x3126E1bde5509A54D5a2Fe4311Cb03AC06f40F59,4
,0xfC2533Bd901FD44EEbda788E1a33417D39F2b230,46.5
,0xC5d50F2Ee5bAa7Da55ea559e7D0252E641f11be9,3
,0x78D8E8807F652B54AfE33B7645A26C5ffaE5291c,20
,0x87E81E6B34F125A1271C1a9E9cA5B0A3cB8b4Ff6,7
,0x2ECBb905fE50B0A372d9060187A3c4B98f2d5254,18
,0x412256fA39Ad370306792C383E5e4218F3E1359d,1
,0x04383C3801208AeafA7FEb87F10f9f09382f4937,10
,0xE2A3B4C885D1E33449c0710C7A85Ba6ED0aA60e4,13.532
,0xd5bA7FC9a31445274A5881d74f7E144b333ff9E0,2
,0xf5F4dD7596490ca50E12b4cfC02286d5C6c4D913,4
,0x116576B3D31bCC1A5c2B353FCeAb2C919F2594cF,1.88466018
,0x438543846DEc17A7AEd3481c9C8363D2f759f063,19
,0xa2F5016C7bA7598599935e3aBefaADCAF511ED4C,3
,0xaDdAe8f7b537911EA5449235d48FC74A83E3B3b2,18
,0xF05934BdC3adfe2c990a52f994bD1F10dFa3bE2E,3
,0xAADE5Ae663b6E49C30dAFdA61Af20628937Ef384,7
,0xdA812260EF1E8b4E5760a296B9C059C05a85B017,3
,0x258DdfB72147e9840eE0984a50E7360d16683314,9
,0xB3D70159Dd6816944799859AdA1A8036Bede02a6,6.6
,0x737798E17630D20d4c065003beC06719169b0f6d,11.1
,0x945501327Bd22875657AD2e8d6D0A9E354a657d8,3
,0x08CA9B4820358bAC928B4429Aa2f2F3a87081322,38.309
,0x3B082b047e1C0214629143C3e875a7CA7F3259F6,65
,0x93fA71f2Fd53A771FDb96Ce7dE0e204C8E8c0B09,1.78339
